no,lng,lat,sites
182,-73.943066,40.840193,
183,-73.942279,40.842154,
184,-73.942013,40.84281,
185,-73.9416398,40.843443,
186,-73.941142,40.844049,
187,-73.940795,40.844686,
188,-73.940518,40.845369,
189,-73.940241,40.846048,
190,-73.940061,40.846519,
191,-73.939779,40.84721,
192,-73.939524,40.847838,
193,-73.9386594,40.8499781,
194,-73.938284,40.850909,
195,-73.937819,40.852128,
196,-73.937435,40.85338,
197,-73.9369033,40.855125,
198,-73.935602,40.857109,
199,-74.0058474,40.7116883,
200,-74.0042501,40.710185,
201,-74.0064696,40.706993,
202,-74.005691,40.706375,
203,-74.0052131,40.7059974,
204,-74.0044746,40.7054111,
205,-74.0036256,40.7136499,
206,-74.0021357,40.7151767,
207,-74.0016907,40.7157471,
208,-74.000818,40.71693,
209,-74.000274,40.717619,
210,-73.9999554,40.718016,
211,-73.9994292,40.7186723,
212,-73.999234,40.718913,
213,-73.9985112,40.7198029,
214,-73.997655,40.720836,
215,-73.9842558,40.7152112,
216,-73.9836386,40.7161377,
217,-73.9833624,40.7166776,
218,-73.9831071,40.717175,
219,-73.9825206,40.7183141,
220,-73.9819376,40.7194607,
221,-73.9813392,40.7206557,
222,-73.9909583,40.7396792,
223,-73.9941671,40.7410305,
224,-73.997007,40.742228,
225,-73.9998517,40.7434266,
226,-74.0027323,40.7446399,
227,-74.005535,40.745816,
228,-74.0078599,40.746795,
229,-74.0166314,40.708135,
230,-74.017398,40.708457,
231,-73.9923179,40.7435682,
232,-73.9951595,40.744765,
233,-73.998,40.7459612,
234,-74.0008813,40.7471747,
235,-74.003684,40.748355,
236,-74.0082929,40.7502706,
237,-73.9112343,40.8716544,
238,-73.9126036,40.8722414,
239,-73.9522263,40.8123183,
240,-73.95177,40.81294,
241,-73.951322,40.813567,
242,-73.95086,40.814187,
243,-73.9497399,40.8179231,
244,-73.9485379,40.821494,
245,-73.9808938,40.714251,
246,-73.9808346,40.7135531,
247,-73.9806225,40.7115207,
248,-73.973464,40.76366,
249,-73.974111,40.7639334,
250,-73.927319,40.855598,
251,-73.928716,40.856182,
252,-73.9297266,40.8566083,
253,-73.932043,40.857841,
254,-73.932983,40.858113,
255,-73.986846,40.745301,
256,-73.9886122,40.7460455,
257,-73.990067,40.746659,
258,-73.9929106,40.7478553,
259,-73.9957492,40.7490521,
260,-73.998626,40.7502567,
261,-74.0014254,40.7514485,
262,-74.0042703,40.7526457,
