place,lng,lat
Music Box Theatre,-73.98715082609624,40.7588721
Ed Sullivan Theater,-73.9828196,40.7637743
Booth Theatre,-73.98709028360129,40.758373000000006
New York City Subway,-73.98877502139135,40.690368018434555
George Washington Bridge,-73.94391482705196,40.8499543395652
Riverside Church,-73.9639399451967,40.81132005472264
Williamsburg Bridge,-73.96956032142914,40.712922601110634
"Banksy's ""Hammer Boy""",-73.97947663449604,40.78371151576525
David H. Koch Theater,-73.98258999999996,40.77268000000004
Lincoln Square,-73.98205994348137,40.7729900305965
Stage 42,-73.99379200953702,40.758739998917434
Eugene O'Neill Theatre,-73.98574035074438,40.76110465
Temple Emanu-El,-73.97025990019098,40.76804005576673
Daily News Building,-73.97299999999996,40.74998000000005
Inwood Hill Park,-73.92953398692072,40.86742221573582
Vivian Beaumont Theatre,-73.98433999999997,40.77377000000007
The Public Theater,-73.99180466093696,40.728929050000005
Greater Refuge Temple,-73.94844197386338,40.80835998561622
Duffy Square,-73.98571990150293,40.75764004176372
Palace Theatre,-73.98462999999998,40.75890000000004
New York City Hall,-74.00719995331355,40.713060051534825
Essex Street Market,-73.98844896535782,40.71770999614043
Circle In The Square Theatre,-73.98422999999997,40.76200000000006
Brooks Atkinson Theatre,-73.98696639245696,40.759975299999994
First Corinthian Baptist Church,-73.95294196622118,40.80310000609751
Jacqueline Kennedy Onassis Reservoir,-73.95134499999995,40.78187500000007
Chelsea Piers Sports & Entertainment Complex,-73.90951993591595,40.78453002534087
Koreatown,-73.90715489811598,40.77816003038461
Manhattan Mall,-73.98825995344122,40.749130021198255
Museum Mile,-73.98255629920561,40.7511905965089
Easter Parade,-73.98466998431118,40.74839999934119
Nederlander Theater,-73.98830234615221,40.7554837
Time Warner Center,-73.98322052053987,40.768410450000005
Rose Mansion,-73.9892490048284,40.74881689904446
David Geffen Hall,-73.98272999999995,40.77269000000007
Houdini Museum of New York at Fantasma Magic,-73.99067503120315,40.7521379928813
New Museum of Contemporary Art,-73.99283154963459,40.7223414
Convent Avenue Baptist Church,-73.94601700545569,40.82438999825362
Red Cube,-74.01001803298016,40.708604986178045
Trump Rink in Central Park,-73.97617995458477,40.76565003989526
Greenacre Pocket Park,-73.97049995789793,40.60200004400778
Sixth Avenue (Avenue of the Americas),-74.00157661975155,40.7307952112864
Fulton Center,-74.00915997755209,40.71053999043559
Joyce Theater,-74.00071076242158,40.74281765
General Electric Building,-73.91711989134416,40.737140043981896
St. Bartholomew's Church,-73.97404994534983,40.75720003375653
Central Park's Literary Walk,-73.97288273636447,40.76448998279874
The Juilliard School,-73.98275999999998,40.77330000000006
Belasco Theatre,-73.983800660177,40.756644
Hudson River Greenway,-74.01432684781629,40.70286383762584
