start,end,length
94,51256,29.974
95,44445,123.10499999999999
44445,95,123.10499999999999
95,814,113.878
814,95,113.878
95,1013,89.652
1013,95,89.652
96,43033,36.561
96,2270,79.488
97,98,128.146
97,99,184.684
98,99,111.72699999999999
98,2753,129.66
2753,98,129.66
99,170,538.1669999999999
100,101,123.061
100,51059,101.35999999999999
101,1839,242.86399999999998
102,41903,20.887
102,47825,49.51
103,1846,274.15299999999996
1846,103,274.15299999999996
104,44393,35.382
104,44394,62.081
105,109,132.78199999999998
105,106,133.751
106,115,88.47699999999999
106,107,36.784000000000006
107,50540,92.95399999999998
107,108,25.113999999999997
108,49982,102.43800000000002
108,51255,158.67999999999995
109,1512,73.918
109,1466,130.498
110,867,161.03500000000003
110,2330,275.724
2330,110,275.724
110,136,90.111
136,110,90.111
110,1328,85.357
1328,110,85.357
111,3149,57.373999999999995
111,1489,52.119
112,139,138.14
112,44386,147.37999999999997
113,112,117.06500000000001
114,51903,12.15
114,44387,170.694
44387,114,170.694
115,1285,131.053
115,1502,76.813
115,50540,134.887
116,117,100.57199999999999
116,963,91.81200000000001
116,2088,88.09599999999999
117,82,12.466
118,77,163.297
119,287,76.90599999999999
287,119,76.90599999999999
119,44385,125.775
119,2757,80.86699999999999
2757,119,80.86699999999999
120,137,10.78
120,121,399.502
121,44284,1189.184
122,567,73.948
567,122,73.948
122,123,140.079
123,45458,25.51
124,49984,5.467
124,42149,353.868
125,2715,79.313
125,44400,144.292
126,43060,291.65200000000004
126,125,54.095
127,128,40.296
127,44436,133.899
128,1267,86.46000000000001
128,2446,118.429
129,53902,86.368
53902,129,86.368
129,2325,274.182
130,81,72.66099999999999
132,54082,29.135
133,624,14.532
134,1865,80.485
135,49061,52.935
136,2331,276.154
136,142,230.319
142,136,230.319
137,122,78.219
138,47312,20.564
138,47313,74.57
47313,138,74.57
139,169,1070.6889999999999
140,141,69.747
140,44391,182.59300000000002
141,1758,238.874
142,1329,84.464
1329,142,84.464
143,1641,456.039
143,50370,321.714
144,53501,122.78200000000001
145,43062,31.211999999999996
146,909,133.956
146,43071,143.418
147,135,48.945
147,41893,242.572
148,53906,114.619
148,53908,88.983
53908,148,88.983
149,43069,33.213
43069,149,33.213
150,51141,119.495
150,117,66.023
151,150,54.749
151,116,49.853
152,144,107.11
152,50372,38.432
153,49511,13.404
49511,153,13.404
153,44485,255.68699999999998
44485,153,255.68699999999998
153,2652,75.921
154,155,34.708999999999996
155,154,34.708999999999996
154,45685,356.859
45685,154,356.859
155,2793,35.573
2793,155,35.573
155,166,339.469
166,155,339.469
156,43059,555.5600000000001
156,51019,499.3959999999999
51019,156,499.3959999999999
156,160,188.92899999999997
157,42853,81.091
42853,157,81.091
157,1185,59.44800000000001
1185,157,59.44800000000001
157,2404,76.931
158,56,299.4290000000001
158,43045,251.50199999999998
159,44688,195.914
159,3141,90.84700000000001
160,51898,388.815
161,46566,20.742
161,3047,76.806
162,2909,160.788
163,53910,44.099999999999994
163,43025,931.3340000000001
164,44380,128.649
165,166,111.211
166,165,111.211
166,45697,191.92899999999997
45697,166,191.92899999999997
167,53026,87.87
167,50373,71.384
168,104,84.018
169,168,97.42599999999999
169,141,419.61800000000005
170,171,100.35
170,1146,664.9800000000002
171,1147,114.006
172,324,39.804
324,172,39.804
172,41814,164.83499999999998
172,2226,51.043
2226,172,51.043
173,297,204.401
173,2907,174.059
174,173,165.31
175,2740,161.477
176,486,80.365
176,44211,18.308
44211,176,18.308
176,177,132.421
177,176,132.421
177,487,88.695
177,178,80.822
178,177,80.822
178,179,82.346
